Date,SP500-EPS-Index,SP500-EPS-Ensemble-Pred,SP500-EPS-Ensemble_Pred_Smth,SP500-EPS-Ensemble-Pred-Smth
2001-11-01,441.078060887825,269.00028386687546,7.131981064624764e-15,-1.8457266843987384e-26
2001-12-01,420.520833996431,269.00028386687546,7.023433183501462e-15,-1.903132185666855e-26
2002-01-01,420.601336994358,822.9418169401426,7.218934549213601e-15,-1.9376736881886067e-26
2002-02-01,420.591191743591,909.2478732352356,7.35217399804099e-15,-1.951235144099576e-26
2002-03-01,420.690380077704,909.2478732352356,7.395107577779203e-15,-2.010169766075142e-26
2002-04-01,432.264800670902,909.2478732352356,7.408041510987311e-15,-2.1247963238692692e-26
2002-05-01,443.876859496545,590.0545378420757,7.501747631758652e-15,-2.3436776059470122e-26
2002-06-01,455.432343846463,682.1269021108948,8.209406705366816e-15,-2.5662917860720794e-26
2002-07-01,474.098496776076,682.1269021108948,1.0600454890605847e-14,-2.6531000529930685e-26
2002-08-01,492.922198162017,709.1646616855845,1.3336885211637209e-14,-2.7035647726212775e-26
2002-09-01,511.590871151704,709.1646616855845,1.1849140435887901e-14,-2.643722173136968e-26
2002-10-01,497.790315660061,709.1646616855845,1.1889540834250652e-14,-2.635850420267136e-26
2002-11-01,483.834377770309,709.1646616855845,1.071123522620474e-14,-2.557910984905603e-26
2002-12-01,469.902716759137,709.1646616855845,9.66807558943456e-15,-2.4907184776323866e-26
2003-01-01,485.435738943853,709.1646616855845,1.1221252238377085e-14,-2.4533209145373003e-26
2003-02-01,500.900892968668,709.1646616855845,1.0647166845435974e-14,-2.5565243704585475e-26
2003-03-01,516.444810005348,709.1646616855845,1.0935518388863328e-14,-2.7067416873622015e-26
2003-04-01,540.402634769616,731.9417051633328,1.0871136587182876e-14,-2.686304938177452e-26
2003-05-01,564.46663221593,731.9417051633328,1.0696987167181708e-14,-2.6687878433122496e-26
2003-06-01,588.351126469623,731.9417051633328,1.101899646366182e-14,-2.6628764844567365e-26
2003-07-01,611.362167862163,731.9417051633328,1.1299811029251001e-14,-2.660406827014895e-26
2003-08-01,634.283025169893,731.9417051633328,1.1414338106468483e-14,-2.7512999008678165e-26
2003-09-01,657.165165549435,731.9417051633328,1.1387151792742724e-14,-2.598361271502073e-26
2003-10-01,714.781246313206,731.9417051633328,1.1570712884600022e-14,-2.513777735905027e-26
2003-11-01,772.400627996479,731.9417051633328,1.1673124039922355e-14,-2.617925703845815e-26
2003-12-01,830.158508936859,738.0270691449103,1.199950699472246e-14,-2.57306118084802e-26
2004-01-01,848.5786921114161,805.8686815192049,1.2402442924753554e-14,-2.5814648222945455e-26
2004-02-01,866.99964657208,805.8686815192049,1.2544040685296416e-14,-2.6297494728631304e-26
2004-03-01,885.828185102242,805.8686815192049,1.2567627617084023e-14,-2.5348272511911854e-26
2004-04-01,909.20866197929,805.8686815192049,1.2612049250663495e-14,-2.740414894961829e-26
2004-05-01,932.556369587868,830.3043594451625,1.2535228805044944e-14,-2.6665442174495664e-26
2004-06-01,956.483944656868,857.8063089508221,1.2714711742619563e-14,-2.471466781298439e-26
2004-07-01,965.349621688035,926.2754657504103,1.3340900086891614e-14,-2.0458479587457874e-26
2004-08-01,974.565067930987,939.0557732351634,1.3647739736970795e-14,-1.7312512757788722e-26
2004-09-01,983.726604122185,939.0557732351634,1.363091067430444e-14,-1.6473425162970132e-26
2004-10-01,988.438739854327,939.0557732351634,1.396816378811759e-14,-1.7306769960575925e-26
2004-11-01,992.941176470588,939.0557732351634,1.3976988152445887e-14,-1.841811459803711e-26
2004-12-01,997.265894596782,939.0557732351634,1.4520629766301693e-14,-1.8471833226455504e-26
2005-01-01,1006.54576598131,976.8249549592897,1.5060983105649624e-14,-1.8476875931790224e-26
2005-02-01,1015.97009609179,1003.8603964818897,1.5417710234577854e-14,-1.9913655774660123e-26
2005-03-01,1025.7359363333,1003.8603964818897,1.5264175122204082e-14,-1.9454231589466542e-26
2005-04-01,1042.67401684449,1043.187104676311,1.5348900934006523e-14,-2.157462450881019e-26
2005-05-01,1060.09203134302,1043.187104676311,1.5198286626561887e-14,-2.2521270202442766e-26
2005-06-01,1077.67265370902,1043.187104676311,1.5457461471833855e-14,-2.1620206816190274e-26
2005-07-01,1095.59128656212,1093.4479964000182,1.58302420113861e-14,-1.9481835220072564e-26
2005-08-01,1113.82520378326,1093.4479964000182,1.620482275383917e-14,-1.6872699590994528e-26
2005-09-01,1132.2618938489,1093.4479964000182,1.616209487234032e-14,-1.4375182430974078e-26
2005-10-01,1150.82365075994,1093.4479964000182,1.639611300545182e-14,-1.2417389310247671e-26
2005-11-01,1170.12308468349,1093.4479964000182,1.6701092696812885e-14,-1.1419376755022005e-26
2005-12-01,1189.517864448,1093.4479964000182,1.6560324604006362e-14,-1.1868642572844354e-26
2006-01-01,1205.22013739776,1139.5447120785211,1.7433375755949927e-14,-1.4122351618761357e-26
2006-02-01,1221.5114017862,1139.5447120785211,1.8096955305076937e-14,-1.7635320895122408e-26
2006-03-01,1237.86328355217,1139.5447120785211,1.8048967570646684e-14,-1.92800248734024e-26
2006-04-01,1248.03261705186,1139.5447120785211,1.8151773287977198e-14,-2.0294333060917246e-26
2006-05-01,1258.32989739372,1166.2287982645194,1.8054991551470123e-14,-2.1246181865067313e-26
